Item Description,MonthDate,Value,YoY_Growth,MoM_Growth
General Index,01-04-2012,99.3,NULL,NULL
General Index,01-05-2012,105,NULL,5.74
General Index,01-06-2012,102.3,NULL,-2.57
General Index,01-07-2012,101.5,NULL,-0.78
General Index,01-08-2012,99.9,NULL,-1.58
General Index,01-09-2012,99,NULL,-0.9
General Index,01-10-2012,103.7,NULL,4.75
General Index,01-11-2012,98.3,NULL,-5.21
General Index,01-12-2012,107.1,NULL,8.95
General Index,01-01-2013,107.2,NULL,0.09
General Index,01-02-2013,101.4,NULL,-5.41
General Index,01-03-2013,115.2,NULL,13.61
General Index,01-04-2013,102.6,3.32,-10.94
General Index,01-05-2013,106,0.95,3.31
General Index,01-06-2013,101.3,-0.98,-4.43
General Index,01-07-2013,104.7,3.15,3.36
General Index,01-08-2013,104.3,4.4,-0.38
General Index,01-09-2013,105.7,6.77,1.34
General Index,01-10-2013,105.7,1.93,0
General Index,01-11-2013,101.9,3.66,-3.6
General Index,01-12-2013,110.9,3.55,8.83
General Index,01-01-2014,112.3,4.76,1.26
General Index,01-02-2014,106.7,5.23,-4.99
General Index,01-03-2014,118.5,2.86,11.06
General Index,01-04-2014,106.6,3.9,-10.04
General Index,01-05-2014,111,4.72,4.13
General Index,01-06-2014,109.7,8.29,-1.17
General Index,01-07-2014,110.4,5.44,0.64
General Index,01-08-2014,108,3.55,-2.17
General Index,01-09-2014,110.2,4.26,2.04
General Index,01-10-2014,106,0.28,-3.81
General Index,01-11-2014,109.4,7.36,3.21
General Index,01-12-2014,115.3,3.97,5.39
General Index,01-01-2015,114.3,1.78,-0.87
General Index,01-02-2015,109.9,3,-3.85
General Index,01-03-2015,121.3,2.36,10.37
General Index,01-04-2015,107.3,0.66,-11.54
General Index,01-05-2015,113,1.8,5.31
General Index,01-06-2015,110.8,1,-1.95
General Index,01-07-2015,111.8,1.27,0.9
General Index,01-08-2015,112,3.7,0.18
General Index,01-09-2015,112.6,2.18,0.54
General Index,01-10-2015,115.5,8.96,2.58
General Index,01-11-2015,110.3,0.82,-4.5
General Index,01-12-2015,118.9,3.12,7.8
General Index,01-01-2016,118.9,4.02,0
General Index,01-02-2016,117.8,7.19,-0.93
General Index,01-03-2016,127.6,5.19,8.32
General Index,01-04-2016,113.7,5.96,-10.89
General Index,01-05-2016,121.3,7.35,6.68
General Index,01-06-2016,119.7,8.03,-1.32
General Index,01-07-2016,116.8,4.47,-2.42
General Index,01-08-2016,116.5,4.02,-0.26
General Index,01-09-2016,118.2,4.97,1.46
General Index,01-10-2016,120.3,4.16,1.78
General Index,01-11-2016,115.9,5.08,-3.66
General Index,01-12-2016,121.7,2.35,5
General Index,01-01-2017,123.1,3.53,1.15
General Index,01-02-2017,119.2,1.19,-3.17
General Index,01-03-2017,133.2,4.39,11.74
General Index,01-04-2017,117.3,3.17,-11.94
General Index,01-05-2017,124.8,2.89,6.39
General Index,01-06-2017,119.3,-0.33,-4.41
General Index,01-07-2017,118,1.03,-1.09
General Index,01-08-2017,122.1,4.81,3.47
General Index,01-09-2017,123.1,4.15,0.82
General Index,01-10-2017,122.5,1.83,-0.49
General Index,01-11-2017,125.8,8.54,2.69
General Index,01-12-2017,130.6,7.31,3.82
General Index,01-01-2018,132.3,7.47,1.3
General Index,01-02-2018,127.4,6.88,-3.7
General Index,01-03-2018,140.3,5.33,10.13
General Index,01-04-2018,122.6,4.52,-12.62
General Index,01-05-2018,129.6,3.85,5.71
General Index,01-06-2018,127.7,7.04,-1.47
General Index,01-07-2018,125.7,6.53,-1.57
General Index,01-08-2018,128,4.83,1.83
General Index,01-09-2018,128.8,4.63,0.63
General Index,01-10-2018,132.8,8.41,3.11
General Index,01-11-2018,126.1,0.24,-5.05
General Index,01-12-2018,133.9,2.53,6.19
General Index,01-01-2019,134.4,1.59,0.37
General Index,01-02-2019,127.6,0.16,-5.06
General Index,01-03-2019,144.1,2.71,12.93
General Index,01-04-2019,126.5,3.18,-12.21
General Index,01-05-2019,135.4,4.48,7.04
General Index,01-06-2019,129.3,1.25,-4.51
General Index,01-07-2019,131.8,4.85,1.93
General Index,01-08-2019,126.2,-1.41,-4.25
General Index,01-09-2019,122.9,-4.58,-2.61
General Index,01-10-2019,124,-6.63,0.9
General Index,01-11-2019,128.8,2.14,3.87
General Index,01-12-2019,134.5,0.45,4.43
General Index,01-01-2020,137.4,2.23,2.16
General Index,01-02-2020,134.2,5.17,-2.33
General Index,01-03-2020,117.2,-18.67,-12.67
General Index,01-04-2020,54,-57.31,-53.92
